Coefficient,MAE,ExpVar
1.48359592980481,5.376327381902915,0.9300760346895776
0.13425246283030215,5.376327381902915,0.9300760346895776
0.12103673963006173,5.376327381902915,0.9300760346895776
0.4827000044650156,5.376327381902915,0.9300760346895776
0.8591063604809713,5.376327381902915,0.9300760346895776
1.5256781870606664,5.376327381902915,0.9300760346895776
1.325812950818266,5.376327381902915,0.9300760346895776
0.2761011808427875,5.376327381902915,0.9300760346895776
1.2422509907259474,5.376327381902915,0.9300760346895776
0.7287684847969077,5.376327381902915,0.9300760346895776
1.2596681193744086,5.376327381902915,0.9300760346895776
0.09795740135950658,5.376327381902915,0.9300760346895776
0.42529635840204494,5.376327381902915,0.9300760346895776
0.3232493230269782,5.376327381902915,0.9300760346895776
0.024153929777944304,5.376327381902915,0.9300760346895776
1.1539043236903566,5.376327381902915,0.9300760346895776
0.2885806386102355,5.376327381902915,0.9300760346895776
1.9087553849435104,5.376327381902915,0.9300760346895776
20.16539290612559,5.376327381902915,0.9300760346895776
0.3889297019638887,5.376327381902915,0.9300760346895776
0.46348881925794366,5.376327381902915,0.9300760346895776
0.770761087267732,5.376327381902915,0.9300760346895776
